order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,reordered,department_id,department,product_name
1253241,152060,6,1,20,23.0,115,2,1,7,beverages,water seltzer sparkling water
3058717,44755,2,1,15,30.0,37,4,0,1,frozen,ice cream ice
2252307,169119,12,4,15,9.0,123,19,0,4,produce,packaged vegetables fruits
188072,162421,3,4,11,30.0,117,5,0,19,snacks,nuts seeds dried fruit
2627597,172693,19,0,23,5.0,17,8,0,13,pantry,baking ingredients
432600,128080,1,1,14,0.0,37,9,0,1,frozen,ice cream ice
1773940,178736,78,5,15,4.0,74,15,1,17,household,dish detergents
1754202,55985,2,0,12,30.0,83,3,1,4,produce,fresh vegetables
2261391,177234,38,5,16,5.0,86,1,1,16,dairy eggs,eggs
772338,193028,11,3,17,5.0,84,8,1,16,dairy eggs,milk
1767327,199168,3,3,13,25.0,54,2,0,17,household,paper goods
1513833,168163,19,4,13,6.0,96,18,1,20,deli,lunch meat
1504403,102227,9,3,19,22.0,24,2,1,4,produce,fresh fruits
1457022,198775,3,0,1,30.0,107,2,1,19,snacks,chips pretzels
1565830,41111,14,3,18,19.0,115,8,0,7,beverages,water seltzer sparkling water
996084,82095,3,6,12,13.0,83,4,0,4,produce,fresh vegetables
541399,30776,5,0,11,14.0,38,31,0,1,frozen,frozen meals
3043429,43290,2,0,9,9.0,21,12,0,16,dairy eggs,packaged cheese
2150860,203633,27,5,11,3.0,99,14,1,15,canned goods,canned fruit applesauce
571784,128576,10,0,14,30.0,24,5,1,4,produce,fresh fruits
1854604,69361,23,2,10,8.0,83,12,1,4,produce,fresh vegetables
1391997,128090,11,0,16,12.0,53,2,1,16,dairy eggs,cream
3070778,178348,42,2,6,5.0,35,9,1,12,meat seafood,poultry counter
2317672,80140,5,2,12,30.0,112,4,1,3,bakery,bread
139076,159687,7,6,7,8.0,31,4,0,7,beverages,refrigerated
2955644,103142,82,5,6,6.0,121,13,1,14,breakfast,cereal
1291707,73583,3,1,7,30.0,117,2,1,19,snacks,nuts seeds dried fruit
1228167,45175,33,0,14,17.0,38,13,1,1,frozen,frozen meals
1227653,133442,2,1,19,7.0,123,2,0,4,produce,packaged vegetables fruits
1845322,2566,18,5,15,8.0,24,4,1,4,produce,fresh fruits
1894438,42055,25,6,11,16.0,45,1,1,19,snacks,candy chocolate
2216899,47648,39,3,8,15.0,19,5,1,13,pantry,oils vinegars
474421,26074,1,4,14,0.0,123,4,0,4,produce,packaged vegetables fruits
577029,196613,14,5,18,4.0,92,11,1,18,babies,baby food formula
3006590,203184,20,2,11,8.0,24,1,1,4,produce,fresh fruits
1936482,177122,6,5,11,3.0,89,7,0,13,pantry,salad dressing toppings
471940,139090,4,6,11,6.0,83,21,0,4,produce,fresh vegetables
2058952,96244,11,0,13,13.0,21,22,1,16,dairy eggs,packaged cheese
1435818,20309,19,4,18,30.0,21,14,0,16,dairy eggs,packaged cheese
2218046,37835,45,1,11,12.0,131,21,1,9,dry goods pasta,dry pasta
1471808,179387,24,2,13,4.0,24,1,1,4,produce,fresh fruits
1542610,139980,16,4,13,14.0,115,12,1,7,beverages,water seltzer sparkling water
2742185,54563,16,3,9,4.0,91,15,0,16,dairy eggs,soy lactosefree
18107,172801,19,2,23,6.0,57,2,1,14,breakfast,granola
246994,59333,5,6,9,7.0,61,11,1,19,snacks,cookies cakes
550397,15528,49,1,8,5.0,24,28,1,4,produce,fresh fruits
687357,114966,12,0,13,15.0,77,3,1,7,beverages,soft drinks
2361425,121067,21,2,16,6.0,133,2,1,11,personal care,muscles joints pain relief
375928,136349,1,2,17,0.0,38,7,0,1,frozen,frozen meals
333103,157328,24,5,15,3.0,24,1,1,4,produce,fresh fruits
1745178,156998,41,3,19,3.0,120,8,1,16,dairy eggs,yogurt
92458,73237,1,3,8,0.0,123,4,0,4,produce,packaged vegetables fruits
931418,26203,17,0,20,13.0,83,2,1,4,produce,fresh vegetables
2759666,128775,34,3,21,4.0,24,13,1,4,produce,fresh fruits
546264,54534,16,0,15,24.0,24,3,1,4,produce,fresh fruits
1912936,6015,51,3,16,10.0,106,8,0,12,meat seafood,hot dogs bacon sausage
340386,8341,2,0,15,6.0,83,12,0,4,produce,fresh vegetables
1431303,156375,4,4,17,2.0,67,3,0,20,deli,fresh dips tapenades
893002,203105,13,0,17,13.0,21,16,0,16,dairy eggs,packaged cheese
2155118,101006,64,6,8,10.0,107,13,1,19,snacks,chips pretzels
534508,1504,7,5,18,15.0,106,13,0,12,meat seafood,hot dogs bacon sausage
1864783,134817,16,4,19,30.0,52,1,1,1,frozen,frozen breakfast
771299,30564,23,2,17,4.0,84,8,1,16,dairy eggs,milk
1189295,5770,10,4,11,7.0,53,8,1,16,dairy eggs,cream
1379016,28688,7,3,16,8.0,25,6,0,11,personal care,soap
1506795,30070,8,2,10,22.0,83,4,1,4,produce,fresh vegetables
1158754,118254,28,3,8,12.0,26,20,1,7,beverages,coffee
1211731,128732,41,6,12,4.0,31,9,1,7,beverages,refrigerated
356848,89180,24,1,9,7.0,67,10,1,20,deli,fresh dips tapenades
93358,204378,8,0,12,1.0,64,7,0,7,beverages,energy sports drinks
1264017,32001,22,0,18,4.0,99,12,1,15,canned goods,canned fruit applesauce
139941,62151,14,2,9,7.0,67,7,1,20,deli,fresh dips tapenades
2491743,182875,37,0,8,1.0,83,1,1,4,produce,fresh vegetables
141225,21981,3,0,14,7.0,120,10,0,16,dairy eggs,yogurt
2239551,119798,9,0,15,24.0,112,7,0,3,bakery,bread
2900699,92502,4,4,18,5.0,123,13,1,4,produce,packaged vegetables fruits
910512,117150,35,2,13,11.0,41,9,0,8,pets,cat food care
1112351,28554,6,4,10,28.0,63,8,0,9,dry goods pasta,grains rice dried goods
27986,175289,16,3,15,3.0,73,1,1,11,personal care,facial care
1672326,182224,33,1,21,7.0,3,4,1,19,snacks,energy granola bars
1805827,176181,5,5,15,21.0,84,15,1,16,dairy eggs,milk
1857423,31711,6,3,21,10.0,16,20,1,4,produce,fresh herbs
421638,107096,20,2,14,8.0,86,19,1,16,dairy eggs,eggs
792924,173657,5,3,11,14.0,84,12,0,16,dairy eggs,milk
1416316,199588,19,1,17,9.0,107,12,1,19,snacks,chips pretzels
995556,149011,8,1,16,30.0,92,4,1,18,babies,baby food formula
2559169,181340,29,4,15,8.0,21,17,0,16,dairy eggs,packaged cheese
331651,78746,62,3,15,10.0,84,3,1,16,dairy eggs,milk
2004128,84968,7,6,16,4.0,93,14,0,3,bakery,breakfast bakery
1077526,127847,4,4,18,6.0,45,8,1,19,snacks,candy chocolate
1225910,122214,7,2,16,8.0,16,8,0,4,produce,fresh herbs
2330845,70797,20,2,8,11.0,115,17,1,7,beverages,water seltzer sparkling water
2800072,129290,2,0,6,15.0,24,4,0,4,produce,fresh fruits
1570242,54421,4,5,11,12.0,115,3,0,7,beverages,water seltzer sparkling water
1481941,119225,10,4,10,7.0,32,3,1,4,produce,packaged produce
1831678,183206,14,6,10,6.0,84,2,1,16,dairy eggs,milk
